tobashi,,st,lon,lat,tem,sal,oxg
,201608,,,,,,
1,16072522.asc,22,10,2,2,3,
1,16072601.asc,1,10,1,2,3,
1,16072602.asc,2,8,1,2,3,
1,16072602a.asc,2a,9,1,2,3,
1,16072603.asc,3,7,1,2,3,
1,16072604.asc,4,6,1,2,3,
1,16072605.asc,5,5,1,2,3,
1,16072506.asc,6,4,1,2,3,
1,16072507.asc,7,0,0,2,3,
1,16072508.asc,8,4,2,2,3,
1,16072509.asc,9,5,2,2,3,
1,16072510.asc,10,6,2,2,3,
1,16072511.asc,11,7,2,2,3,
1,16072512.asc,12,8,2,2,3,
1,16072513.asc,13,9,2,2,3,
1,16072514.asc,14,11,2,2,3,
,201609,,,,,,
1,a16091502a.asc,2a,9,1,3,6,
1,a16091503.asc,3,7,1,3,6,
1,a16091504.asc,4,6,1,3,6,
1,a16091514.asc,14,11,2,3,6,
1,a16091522.asc,22,10,2,3,6,
1,a16091312.asc,12,8,2,3,6,
1,a16091313.asc,13,9,2,3,6,
1,a16091405.asc,5,5,1,3,6,
1,a16091406.asc,6,4,1,3,6,
1,a16091408.asc,8,4,2,3,6,
1,a16091409.asc,9,5,2,3,6,
1,a16091410.asc,10,6,2,3,6,
1,a16091411.asc,11,7,2,3,6,
1,a16091415.asc,15,3,1,3,6,
1,a16091416.asc,16,2,1,3,6,
1,a16091417.asc,17,1,1,3,6,
1,a16091418.asc,18,0,0,3,6,
1,a16091419.asc,19,1,2,3,6,
1,a16091420.asc,20,2,2,3,6,
1,a16091421.asc,21,3,2,3,6,
1,a16091501.asc,1,10,1,3,6,
1,a16091502.asc,2,8,1,3,6,
,201610,,,,,,
5,CTD2016092705.csv,5,5,1,2,4,
5,CTD2016092706.csv,6,4,1,2,4,
5,CTD2016092707.csv,7,0,0,2,4,
5,CTD2016092708.csv,8,4,2,2,4,
5,CTD2016092709.csv,9,5,2,2,4,
5,CTD2016092610.csv,10,6,2,2,4,
5,CTD2016092611.csv,11,7,2,2,4,
5,CTD2016092612.csv,12,8,2,2,4,
5,CTD2016092613.csv,13,9,2,2,4,
5,CTD2016092614.csv,14,11,2,2,4,
5,CTD2016092622.csv,22,10,2,2,4,
5,CTD2016092701.csv,1,10,1,2,4,
5,CTD2016092702.csv,2,8,1,2,4,
5,CTD2016092702a.csv,2a,9,1,2,4,
5,CTD2016092703.csv,3,7,1,2,4,
5,CTD2016092704.csv,4,6,1,2,4,
,201611,,,,,,
1,a161113.asc,13,9,2,3,6,
1,a161114.asc,14,11,2,3,6,
1,a161115.asc,15,3,1,3,6,
1,a161116.asc,16,2,1,3,6,
1,a161117.asc,17,1,1,3,6,
1,a161118.asc,18,0,0,3,6,
1,a161119.asc,19,1,2,3,6,
1,a161120.asc,20,2,2,3,6,
1,a161121.asc,21,3,2,3,6,
1,a161122.asc,22,10,2,3,6,
1,a161101.asc,1,10,1,3,6,
1,a161102.asc,2,8,1,3,6,
1,a161102a.asc,2a,9,1,3,6,
1,a161103.asc,3,7,1,3,6,
1,a161104.asc,4,6,1,3,6,
1,a161105.asc,5,5,1,3,6,
1,a161106.asc,6,4,1,3,6,
1,a161108.asc,8,4,2,3,6,
1,a161109.asc,9,5,2,3,6,
1,a161110.asc,10,6,2,3,6,
1,a161111.asc,11,7,2,3,6,
1,a161112.asc,12,8,2,3,6,
,201612,,,,,,
1,a16120813.asc,13,9,2,3,6,
1,a16120914.asc,14,11,2,3,6,
1,a16120922.asc,22,10,2,3,6,
1,a16120801.asc,1,10,1,3,6,
1,a16120802.asc,2,8,1,3,6,
1,a16120802a.asc,2a,9,1,3,6,
1,a16120803.asc,3,7,1,3,6,
1,a16120804.asc,4,6,1,3,6,
1,a16120805.asc,5,5,1,3,6,
1,a16120806.asc,6,4,1,3,6,
1,a16120807.asc,7,0,0,3,6,
1,a16120808.asc,8,4,2,3,6,
1,a16120809.asc,9,5,2,3,6,
1,a16120810.asc,10,6,2,3,6,
1,a16120811.asc,11,7,2,3,6,
1,a16120812.asc,12,8,2,3,6,
