tobashi,,st,lon,lat,tem,sal,oxg
,201112,,,,,,
1,a11112905.asc,5,5,1,2,6,3
1,a11112906.asc,6,4,1,2,6,3
1,a11112907.asc,7,0,0,2,6,3
1,a11112908.asc,8,4,2,2,6,3
1,a11112909.asc,9,5,2,2,6,3
1,a11112911.asc,11,7,2,2,6,3
1,a11112912.asc,12,8,2,2,6,3
1,a11112913.asc,13,9,2,2,6,3
1,a11113001.asc,1,10,1,2,6,3
1,a11113002.asc,2,8,1,2,6,3
1,a11113002a.asc,2-a,9,1,2,6,3
1,a11113003.asc,3,7,1,2,6,3
1,a11113014.asc,14,11,2,2,6,3
1,a11113022.asc,22,10,2,2,6,3
1,b11112910.asc,10,6,2,2,6,3
1,b11113004.asc,4,6,1,2,6,3
