tobashi,,st,lon,lat,tem,sal,oxg
1,b12112603.asc,3,7,1,2,6,3
1,b12112604.asc,4,6,1,2,6,3
1,b12112605.asc,5,5,1,2,6,3
1,b12112606.asc,6,4,1,2,6,3
1,b12112607.asc,7,0,0,2,6,3
1,b12112614.asc,14,11,2,2,6,3
1,b12112622.asc,22,10,2,2,6,3
1,b1211262-a.asc,2-a,9,1,2,6,3
1,b12112508.asc,8,4,2,2,6,3
1,b12112509.asc,9,5,2,2,6,3
1,b12112510.asc,10,6,2,2,6,3
1,b12112511.asc,11,7,2,2,6,3
1,b12112512.asc,12,8,2,2,6,3
1,b12112513.asc,13,9,2,2,6,3
1,b12112601.asc,1,10,1,2,6,3
1,b12112602.asc,2,8,1,2,6,3
