   0.0000   0.0000   0.0000   0.0000  17.9315  21.5125 -18.4997  16.3566  27.3020
   0.0000   0.0000   0.0000   0.0000  17.6818  21.4521 -18.4337  16.2816  27.2041
   0.0000   0.0000   0.0000   0.0000  17.4323  21.3909 -18.3635  16.2025  27.1065
   0.0000   0.0000   0.0000   0.0000  17.1824  21.3298 -18.2903  16.1230  27.0066
   0.0000   0.0000   0.0000   0.0000  16.9347  21.2676 -18.2144  16.0455  26.9024
   0.0000   0.0000   0.0000   0.0000  16.6878  21.2042 -18.1360  15.9682  26.7955
   0.0000   0.0000   0.0000   0.0000  16.4396  21.1402 -18.0554  15.8887  26.6888
   0.0000   0.0000   0.0000   0.0000  16.1910  21.0756 -17.9736  15.8074  26.5824
   0.0000   0.0000   0.0000   0.0000  15.9446  21.0095 -17.8923  15.7250  26.4765
   0.0000   0.0000   0.0000   0.0000  15.7011  20.9407 -17.8104  15.6416  26.3706
   0.0000   0.0000   0.0000   0.0000  15.4594  20.8704 -17.7262  15.5553  26.2647
   0.0000   0.0000   0.0000   0.0000  15.2197  20.7970 -17.6387  15.4658  26.1585
   0.0000   0.0000   0.0000   0.0000  14.9831  20.7194 -17.5505  15.3754  26.0518
   0.0000   0.0000   0.0000   0.0000  14.7479  20.6410 -17.4634  15.2864  25.9435
   0.0000   0.0000   0.0000   0.0000  14.5142  20.5622 -17.3771  15.1978  25.8341
   0.0000   0.0000   0.0000   0.0000  14.2808  20.4827 -17.2887  15.1072  25.7250
   0.0000   0.0000   0.0000   0.0000  14.0505  20.3988 -17.1987  15.0155  25.6153
   0.0000   0.0000   0.0000   0.0000  13.8257  20.3080 -17.1077  14.9234  25.5049
   0.0000   0.0000   0.0000   0.0000  13.6079  20.2091 -17.0159  14.8337  25.3917
   0.0000   0.0000   0.0000   0.0000  13.3951  20.1050 -16.9239  14.7464  25.2765
   0.0000   0.0000   0.0000   0.0000  13.1818  20.0010 -16.8307  14.6603  25.1587
   0.0000   0.0000   0.0000   0.0000  12.9711  19.8942 -16.7342  14.5732  25.0385
   0.0000   0.0000   0.0000   0.0000  12.7653  19.7816 -16.6320  14.4822  24.9163
   0.0000   0.0000   0.0000   0.0000  12.5680  19.6602 -16.5242  14.3861  24.7935
   0.0000   0.0000   0.0000   0.0000  12.3781  19.5310 -16.4124  14.2856  24.6713
   0.0000   0.0000   0.0000   0.0000  12.1920  19.3973 -16.2978  14.1823  24.5499
   0.0000   0.0000   0.0000   0.0000  12.0075  19.2618 -16.1816  14.0779  24.4292
   0.0000   0.0000   0.0000   0.0000  11.8245  19.1246 -16.0633  13.9712  24.3090
   0.0000   0.0000   0.0000   0.0000  11.6440  18.9842 -15.9428  13.8624  24.1888
   0.0000   0.0000   0.0000   0.0000  11.4682  18.8387 -15.8204  13.7525  24.0675
   0.0000   0.0000   0.0000   0.0000  11.2964  18.6892 -15.6964  13.6412  23.9454
   0.0000   0.0000   0.0000   0.0000  11.1285  18.5369 -15.5697  13.5265  23.8229
   0.0000   0.0000   0.0000   0.0000  10.9624  18.3835 -15.4410  13.4101  23.6994
   0.0000   0.0000   0.0000   0.0000  10.7983  18.2285 -15.3117  13.2937  23.5743
   0.0000   0.0000   0.0000   0.0000  10.6356  18.0733 -15.1829  13.1775  23.4478
   0.0000   0.0000   0.0000   0.0000  10.4750  17.9167 -15.0532  13.0614  23.3192
   0.0000   0.0000   0.0000   0.0000  10.3169  17.7590 -14.9224  12.9462  23.1868
   0.0000   0.0000   0.0000   0.0000  10.1597  17.6009 -14.7917  12.8331  23.0514
